,timestamp,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,height,battery,barometer,time,agx,agy,agz
0,1588706474138,0,-2,0,0,0,0,56,58,10,0,83,1.02,0,-3.00,48.00,-993.00
1,1588706474147,0,-2,0,0,0,0,56,58,10,0,83,1.02,0,-4.00,53.00,-1000.00
2,1588706474153,0,-2,0,0,0,0,56,58,10,0,83,1.02,0,-24.00,65.00,-1000.00
3,1588706474158,0,-2,0,0,0,0,56,58,10,0,83,1.02,0,16.00,9.00,-1016.00
4,1588706474163,0,0,0,0,0,0,56,58,10,0,83,1.02,0,8.00,-15.00,-1126.00
5,1588706474168,0,0,0,0,0,-2,56,58,10,0,83,1.02,0,24.00,-3.00,-1346.00
6,1588706474173,0,1,0,0,0,-5,56,58,10,0,83,1.07,0,-37.00,0.00,-1352.00
7,1588706474178,0,0,0,0,0,-7,57,58,17,0,83,1.39,0,7.00,-6.00,-1121.00
8,1588706474183,0,0,0,0,0,-7,57,58,25,10,83,1.75,0,29.00,-20.00,-1000.00
9,1588706474188,0,0,0,0,0,-7,57,58,33,20,83,1.67,1,12.00,-10.00,-975.00
10,1588706474193,0,0,0,0,0,-7,57,58,40,20,83,1.62,1,-2.00,-12.00,-943.00
11,1588706474198,0,0,0,0,0,-6,57,58,48,30,83,1.48,1,-1.00,-11.00,-896.00
12,1588706474203,0,0,0,0,0,-5,57,58,54,30,83,1.88,1,-6.00,-11.00,-900.00
13,1588706474207,0,0,0,0,0,-4,57,58,60,40,83,2.08,1,15.00,-15.00,-886.00
14,1588706474212,0,0,0,0,0,-3,57,58,64,40,83,1.98,1,5.00,-3.00,-932.00
15,1588706474217,0,0,0,0,0,-2,57,58,68,40,83,2.18,1,12.00,-8.00,-937.00
16,1588706474222,0,0,0,0,0,-1,57,58,71,40,83,2.05,1,-3.00,-6.00,-959.00
17,1588706474227,0,0,0,0,0,-1,57,58,74,40,83,1.82,1,16.00,-14.00,-946.00
18,1588706474232,0,0,0,0,0,0,57,58,76,50,83,2.19,1,-1.00,-9.00,-983.00
19,1588706474237,0,0,0,0,0,0,57,58,78,50,83,1.86,2,11.00,-10.00,-970.00
20,1588706474242,0,0,0,0,0,0,57,58,80,50,83,2.22,2,-9.00,-11.00,-1020.00
21,1588706474247,0,0,0,0,0,0,57,58,82,50,83,2.37,2,-4.00,-9.00,-994.00
22,1588706474252,0,0,0,0,0,0,57,58,84,50,83,2.20,2,12.00,-8.00,-988.00
23,1588706474257,0,0,0,0,0,0,57,58,86,50,83,2.13,2,-14.00,-12.00,-978.00
24,1588706474262,0,0,0,0,0,0,57,58,87,60,83,2.07,2,6.00,-12.00,-954.00
25,1588706474267,0,0,0,0,0,0,57,58,88,60,83,2.60,2,23.00,1.00,-993.00
26,1588706474272,0,0,0,0,0,0,57,58,89,60,83,2.33,2,4.00,-12.00,-961.00
27,1588706474277,0,0,0,0,0,0,57,59,90,60,83,2.12,2,-8.00,-4.00,-999.00
28,1588706474282,0,0,0,0,0,0,57,59,90,60,83,2.38,2,-4.00,-7.00,-963.00
29,1588706474287,0,0,0,0,0,0,57,59,90,60,83,2.21,3,11.00,-4.00,-992.00
30,1588706474292,0,0,0,0,0,0,57,59,90,60,83,2.46,3,-10.00,-8.00,-959.00
31,1588706474297,0,0,0,0,0,0,57,59,90,60,83,2.35,3,0.00,-8.00,-986.00
32,1588706474302,0,0,0,0,0,0,57,59,89,60,83,2.14,3,24.00,-11.00,-956.00
33,1588706474307,0,0,0,0,0,0,57,59,89,60,83,2.33,3,9.00,-10.00,-975.00
34,1588706474312,0,0,0,0,0,0,57,59,88,60,83,2.15,3,0.00,-8.00,-996.00
35,1588706474317,0,0,0,0,0,0,57,59,88,60,83,1.93,3,20.00,-4.00,-999.00
36,1588706474322,0,0,0,0,0,0,57,59,87,60,83,1.93,3,13.00,-6.00,-1023.00
37,1588706474327,0,0,0,0,0,0,57,59,86,60,83,1.71,3,6.00,-9.00,-1009.00
38,1588706474331,0,0,0,0,0,0,57,59,86,60,83,2.17,3,13.00,-8.00,-974.00
39,1588706474336,0,0,0,0,0,0,57,59,85,60,83,2.25,4,-2.00,-11.00,-988.00
40,1588706474341,0,0,0,0,0,0,57,59,84,60,83,2.02,4,9.00,-8.00,-972.00
41,1588706474348,0,0,0,0,0,0,57,59,83,60,83,2.37,4,0.00,-5.00,-1025.00
42,1588706474353,0,0,0,0,0,0,57,59,82,60,83,1.94,4,2.00,-8.00,-1004.00
